"genus","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9"
"Adenaria",11.847,1,0,0,0
"Ammannia",17.707,135,0.277,0.238,0.151
"Capuronia",23.283,1,0,0,0
"Crenea",17.707,2,0.039,0.023,0.005
"Cuphea",28.011,294,0.203,0.178,0.122
"Decodon",51.031,1,0,0,0
"Didiplis",26.476,1,0,0,0
"Diplusodon",53.295,114,0.089,0.076,0.047
"Duabanga",38.103,3,0.029,0.018,0.005
"Galpinia",23.283,1,0,0,0
"Ginoria",19.473,15,0.139,0.107,0.045
"Heimia",45.048,4,0.031,0.02,0.006
"Koehneria",15.97,1,0,0,0
"Lagerstroemia",38.103,61,0.108,0.09,0.051
"Lawsonia",40.745,1,0,0,0
"Lourtella",48.879,1,0,0,0
"Lythrum",51.031,43,0.074,0.061,0.032
"Pehria",11.847,1,0,0,0
"Pemphis",47.643,1,0,0,0
"Physocalymma",51.596,1,0,0,0
"Pleurophora",28.011,8,0.074,0.054,0.019
"Punica",40.485,2,0.017,0.01,0.002
"Rotala",26.476,76,0.164,0.138,0.081
"Sonneratia",31.902,9,0.069,0.05,0.018
"Tetrataxis",19.473,1,0,0,0
"Trapa",31.902,16,0.087,0.067,0.029
"Woodfordia",15.97,2,0.043,0.025,0.006
