"Group","formula","n_points","logLik","aic","p","r.sq"
"Myrtales","div.rates~volume","234","-355.108817474527","716.217634949055","5.78110195532587e-24","0.356107290173852"
"Myrtales","div.rates~niche_through_time","234","-339.928890718057","685.857781436114","1.52590349890043e-30","0.434455406706612"
"Myrtaceae","div.rates~volume","90","-124.260739880883","254.521479761766","1.01281217026577e-10","0.379704233863181"
"Myrtaceae","div.rates~niche_through_time","90","-120.009958238385","246.019916476771","1.48644147318117e-12","0.435616157304421"
"Onagraceae","div.rates~volume","15","-20.5917579406402","47.1835158812805","0.00060250622155259","0.608519476426201"
"Onagraceae","div.rates~niche_through_time","15","-19.9013459677873","45.8026919355747","0.000323844962224666","0.642948211792911"
"Combretaceae","div.rates~volume","7","-11.155152463132","28.3103049262639","0.118272484039291","0.415159203715591"
"Combretaceae","div.rates~niche_through_time","7","-9.95508131323504","25.9101626264701","0.0451854060613042","0.584923767682976"
"Melastomataceae_CAPclade","div.rates~volume","102","-154.626064357854","315.252128715708","6.82868111055447e-10","0.317871284071399"
"Melastomataceae_CAPclade","div.rates~niche_through_time","102","-146.78459752156","299.56919504312","2.75778923455964e-13","0.415086413242361"
"Vochysiaceae","div.rates~volume","5","-0.762937157650583","7.52587431530117","0.0112901663456806","0.91248756020776"
"Vochysiaceae","div.rates~niche_through_time","5","2.51910465917484","0.961790681650324","0.00154442204572602","0.976453805251959"
"Lythraceae","div.rates~volume","15","-23.4787431757635","52.957486351527","0.00342150978197195","0.495073185714933"
"Lythraceae","div.rates~niche_through_time","15","-23.2752384179771","52.5504768359542","0.00283792470869768","0.508589646695687"
