"","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","fm_scoring_corolla_diam","fm_scoring_fruit","fm_scoring_seed_number","GLOBAL_SLOPE_10MIN","meancarbon","meanpH","meanwatercap","most_common_life_form","seed.length.mean","df","logLik","AICc","delta","weight","rsqs"
"model 1","x","","x","x","","","","","","x","","x","",7,-372.1,758.6,0,0.02,0.159
"model 2","x","","x","","","","","x","","x","","x","",7,-372.2,759,0.36,0.02,0.157
"model 3","x","","x","","","","","","x","x","","x","",7,-372.5,759.5,0.91,0.01,0.155
"model 4","x","","x","x","","","","","x","x","","x","",8,-371.5,759.7,1.06,0.01,0.163
"model 5","x","","x","","","","","","","x","","x","",6,-373.7,759.7,1.08,0.01,0.147
"model 6","x","","x","x","","x","","","","x","","x","",8,-371.5,759.7,1.1,0.01,0.163
"model 7","x","","x","x","","","","x","","x","","x","",8,-371.6,759.9,1.22,0.01,0.162
"model 8","x","","x","","","x","","x","","x","","x","",8,-371.7,760,1.34,0.01,0.162
"model 9","x","","x","","","","","","","x","x","x","",7,-372.8,760.1,1.48,0.01,0.153
"model 10","x","","x","x","","","","","","x","x","x","",8,-371.7,760.2,1.53,0.01,0.161
"model 11","x","","x","","","x","","","x","x","","x","",8,-371.8,760.3,1.7,0.01,0.161
"model 12","x","","x","","","","","x","x","x","","x","",8,-371.9,760.5,1.84,0.01,0.16
"model 13","x","","x","x","","","x","","","x","","x","",8,-371.9,760.5,1.85,0.01,0.16
"model 14","x","","x","","","","","x","","x","x","x","",8,-371.9,760.5,1.86,0.01,0.16
"model 15","x","","x","x","","","","","","x","","x","x",8,-371.9,760.5,1.86,0.01,0.16
"model 16","x","x","x","x","","","","","","x","","x","",8,-371.9,760.5,1.9,0.01,0.16
"model 17","x","","x","x","","x","","","x","x","","x","",9,-370.9,760.6,1.99,0.01,0.168
